"seq_unique","GC_B_cells","PCs","Memory_Bcells","Unconventional_Bcells","Naive_Bcells"
"seq1699",1,0,0,0,0
"seq17",1,0,0,0,0
"seq170",1,0,0,0,0
"seq1700",1,0,0,0,0
"seq1701",1,0,0,0,0
"seq1702",2,0,0,0,0
"seq1703",1,0,0,0,0
"seq1704",1,0,0,0,0
"seq1705",2,0,0,0,0
"seq1706",1,0,0,0,0
"seq1707",3,0,0,0,0
"seq1708",1,0,0,0,0
"seq1709",1,0,0,0,0
"seq171",4,0,0,0,0
"seq1710",1,0,0,0,0
"seq1711",1,0,0,0,0
"seq1712",1,0,0,0,0
"seq1713",1,0,0,0,0
"seq1714",1,0,0,0,0
"seq1715",1,0,0,0,0
"seq1716",1,0,0,0,0
"seq1717",1,0,0,0,0
"seq1718",6,0,0,0,0
"seq1719",1,0,0,0,0
"seq172",8,0,0,0,0
"seq1720",3,0,0,0,0
"seq1721",1,0,0,0,0
"seq1722",1,0,0,0,0
"seq1723",1,0,0,0,0
"seq1724",4,0,0,0,0
"seq1725",1,0,0,0,0
"seq1726",1,0,0,0,0
"seq1727",0,0,1,0,0
"seq1728",1,0,0,0,0
"seq1729",1,0,0,0,0
"seq173",5,0,0,0,0
"seq1730",1,0,0,0,0
"seq1731",1,0,0,0,0
"seq1732",1,0,0,0,0
"seq1733",1,0,0,0,0
"seq1734",1,0,0,0,0
"seq1735",3,0,0,0,0
"seq1736",3,0,0,0,0
"seq1737",1,0,0,0,0
"seq1738",3,0,0,0,0
"seq1739",1,0,0,0,0
"seq174",4,0,0,0,0
"seq1740",1,0,0,0,0
"seq1741",1,0,0,0,0
"seq1742",1,0,0,0,0
"seq1743",1,0,0,0,0
"seq1744",1,0,0,0,0
"seq1745",1,0,0,0,0
"seq1746",1,0,0,0,0
"seq1747",1,0,0,0,0
"seq1748",0,0,1,0,0
"seq1749",1,0,0,0,0
"seq175",1,0,0,0,0
"seq1750",1,0,0,0,0
"seq1751",1,0,0,0,0
"seq1752",1,0,0,0,0
"seq1753",1,0,0,0,0
"seq1754",1,0,0,0,0
"seq1755",1,0,0,0,0
"seq1756",1,0,0,0,0
"seq1757",9,0,0,0,0
"seq1758",1,0,0,0,0
"seq1759",1,0,0,0,0
"seq176",1,0,0,0,0
"seq1760",1,0,0,0,0
"seq1761",1,0,0,0,0
"seq1762",9,0,0,0,0
"seq1763",1,0,0,0,0
"seq1764",1,0,0,0,0
"seq1765",1,0,0,0,0
"seq1766",1,0,0,0,0
