"seq_unique","IGHG1","IGHA1","IGHE","IGHG2","IGHG3","IGHM","NA","IGHG4","IGHA2","IGHD"
"seq1377",1,0,0,0,0,0,0,0,0,0
"seq1378",3,0,0,0,0,0,0,0,0,0
"seq1379",1,0,0,0,0,0,0,0,0,0
"seq138",0,0,0,0,0,1,0,0,0,0
"seq1380",1,0,0,0,0,0,0,0,0,0
"seq1381",2,0,0,0,0,0,0,0,0,0
"seq1382",7,0,0,0,0,0,0,0,0,0
"seq1383",1,0,0,0,0,0,0,0,0,0
"seq1384",1,0,0,0,0,0,0,0,0,0
"seq1385",1,0,0,0,0,0,0,0,0,0
"seq1386",1,0,0,0,0,0,0,0,0,0
"seq1387",1,0,0,0,0,0,0,0,0,0
"seq1388",1,0,0,0,0,0,0,0,0,0
"seq1389",1,0,0,0,0,0,0,0,0,0
"seq139",1,0,0,0,0,0,0,0,0,0
"seq1390",2,0,0,0,0,0,0,0,0,0
"seq1391",1,0,0,0,0,0,0,0,0,0
"seq1392",1,0,0,0,0,0,0,0,0,0
"seq1393",1,0,0,0,0,0,0,0,0,0
"seq1394",1,0,0,0,0,0,0,0,0,0
"seq1395",1,0,0,0,0,0,0,0,0,0
"seq1396",1,0,0,0,0,0,0,0,0,0
"seq1397",1,0,0,0,0,0,0,0,0,0
"seq1398",10,0,0,0,0,0,0,0,0,0
"seq1399",1,0,0,0,0,0,0,0,0,0
"seq14",1,0,0,0,0,0,0,0,0,0
"seq140",1,0,0,0,0,0,0,0,0,0
"seq1400",5,0,0,0,0,0,0,0,0,0
"seq1401",1,0,0,0,0,0,0,0,0,0
"seq1402",1,0,0,0,0,0,0,0,0,0
"seq1403",1,0,0,0,0,0,0,0,0,0
"seq1404",1,0,0,0,0,0,0,0,0,0
"seq1405",4,0,0,0,0,0,0,0,0,0
"seq1406",2,0,0,0,0,0,0,0,0,0
"seq1407",3,0,0,0,0,0,0,0,0,0
"seq1408",1,0,0,0,0,0,0,0,0,0
"seq1409",1,0,0,0,0,0,0,0,0,0
"seq141",0,1,0,0,0,0,0,0,0,0
"seq1410",1,0,0,0,0,0,0,0,0,0
"seq1411",1,0,0,0,0,0,0,0,0,0
"seq1412",1,0,0,0,0,0,0,0,0,0
"seq1413",1,0,0,0,0,0,0,0,0,0
"seq1414",1,0,0,0,0,0,0,0,0,0
"seq1415",1,0,0,0,0,0,0,0,0,0
"seq1416",1,0,0,0,0,0,0,0,0,0
"seq1417",1,0,0,0,0,0,0,0,0,0
"seq1418",1,0,0,0,0,0,0,0,0,0
"seq1419",1,0,0,0,0,0,0,0,0,0
"seq142",0,0,0,0,0,1,0,0,0,0
"seq1420",1,0,0,0,0,0,0,0,0,0
"seq1421",1,0,0,0,0,0,0,0,0,0
"seq1422",1,0,0,1,0,0,0,0,0,0
"seq1423",2,0,0,0,0,0,0,0,0,0
"seq1424",1,0,0,0,0,0,0,0,0,0
"seq1425",1,0,0,0,0,0,0,0,0,0
"seq1426",0,0,0,0,0,0,1,0,0,0
"seq1427",1,0,0,0,0,0,0,0,0,0
"seq1428",2,0,0,0,0,0,0,0,0,0
"seq1429",7,0,0,0,0,0,1,0,0,0
"seq143",1,0,0,0,0,0,0,0,0,0
"seq1430",1,0,0,0,0,0,0,0,0,0
"seq1431",2,0,0,1,0,0,0,0,0,0
"seq1432",2,0,0,0,0,0,0,0,0,0
"seq1433",1,0,0,0,0,0,0,0,0,0
"seq1434",1,0,0,0,0,0,0,0,0,0
"seq1435",1,0,0,0,0,0,0,0,0,0
"seq1436",1,0,0,0,0,0,0,0,0,0
"seq1437",4,0,0,0,0,0,1,0,0,0
"seq1438",1,0,0,0,0,0,0,0,0,0
"seq1439",4,0,0,0,0,0,0,0,0,0
"seq144",1,0,0,0,0,0,0,0,0,0
"seq1440",1,0,0,0,0,0,0,0,0,0
"seq1441",1,0,0,0,0,0,0,0,0,0
"seq1442",1,0,0,0,0,0,0,0,0,0
"seq1443",1,0,0,0,0,0,0,0,0,0
"seq1444",1,0,0,0,0,0,0,0,0,0
"seq1445",1,0,0,0,0,0,0,0,0,0
"seq1446",6,0,0,0,0,0,0,0,0,0
"seq1447",1,0,0,0,0,0,0,0,0,0
"seq1448",1,0,0,0,0,0,0,0,0,0
"seq1449",4,0,0,0,0,0,0,0,0,0
"seq145",0,0,0,0,1,0,0,0,0,0
"seq1450",2,0,0,0,0,0,0,0,0,0
"seq1451",1,0,0,0,0,0,0,0,0,0
